"","X","Pos","Player","Pts","Bye","week","team","Opponent","OppId","NFLTeam","NFLPos","AltPlayer","AltPos","AltPts","Diff"
"90",90,"BN","Steve Smith Sr.",30,0,3,2,"FU Roadshow Winnebago",4,"Bal","WR","Jordan Matthews","WR",4,26
"141",141,"BN","LeGarrette Blount",26,0,3,3,"Screw you,  Goodell",7,"NE","RB","C.J. Anderson","FLEX",1,25
"222",222,"BN","Matt Jones",24,0,2,5,"Screw you,  Goodell",7,"Wsh","RB","Eddie Lacy","RB",0,24
"413",413,"BN","Michael Crabtree",17,0,2,9,"Coffin Corner Gunners",3,"Oak","WR","Keenan Allen","WR",-1,18
"364",364,"BN","Ryan Tannehill",23,0,2,8,"+/- 1 PSI",11,"Mia","QB","Sam Bradford","QB",6,17
"398",398,"BN","Austin Seferian Jenkins",23,0,1,9,"The Peasemakers",1,"TB","TE","Jordan Cameron","TE",7,16
"479",479,"BN","Ryan Mathews",16,0,3,10,"+/- 1 PSI",11,"Phi","RB","DeMarco Murray","FLEX",0,16
"510",510,"BN","Allen Robinson",27,0,2,11,"Down w/the Confederacaaaa!",8,"Jax","WR","Vincent Jackson","WR",11,16
"560",560,"BN","Doug Baldwin",15,0,2,12,"What Would Jameis Do?",2,"Sea","WR","Mike Evans","WR",0,15
"573",573,"BN","Rueben Randle",17,0,3,12,"Down w/the Confederacaaaa!",8,"NYG","WR","Doug Baldwin","FLEX",3,14
"74",74,"BN","Steve Smith Sr.",15,0,2,2,"Tom Terrific",12,"Bal","WR","Darren Sproles","FLEX",2,13
"255",255,"BN","James Jones",17,0,1,6,"Screw you,  Goodell",7,"GB","WR","Amari Cooper","WR",4,13
"315",315,"BN","Giovani Bernard",13,0,2,7,"Wilfork Island",5,"Cin","RB","Roddy White","FLEX",0,13
"349",349,"BN","Bishop Sankey",20,0,1,8,"Richmond Confederates",10,"Ten","RB","Lamar Miller","RB",7,13
"446",446,"BN","Danny Woodhead",18,0,1,10,"Down w/the Confederacaaaa!",8,"SD","RB","Terrance Williams","FLEX",6,12
"557",557,"BN","Anquan Boldin",12,0,2,12,"What Would Jameis Do?",2,"SF","WR","Mike Evans","WR",0,12
"92",92,"BN","Alfred Blue",19,0,3,2,"FU Roadshow Winnebago",4,"Hou","RB","LeSean McCoy","RB",8,11
"95",95,"BN","Andy Dalton",30,0,3,2,"FU Roadshow Winnebago",4,"Cin","QB","Eli Manning","QB",19,11
"287",287,"BN","James Jones",19,0,3,6,"Love in an Elevator",9,"GB","WR","Travis Benjamin","FLEX",8,11
"363",363,"BN","Isaiah Crowell",13,0,2,8,"+/- 1 PSI",11,"Cle","RB","Rashad Jennings","FLEX",2,11
"556",556,"BN","Dexter McCluster, Ten WR",11,0,2,12,"What Would Jameis Do?",2,"RB","RB","Rueben Randle","FLEX",0,11
"12",12,"BN","Kendall Wright",16,0,1,1,"Love in an Elevator",9,"Ten","WR","Alshon Jeffery","WR",7,9
"45",45,"BN","Marcus Mariota",18,0,3,1,"Wilfork Island",5,"Ten","QB","Philip Rivers","QB",9,9
"94",94,"BN","Karlos Williams",17,0,3,2,"FU Roadshow Winnebago",4,"Buf","RB","LeSean McCoy","RB",8,9
"127",127,"BN","David Johnson",16,0,2,3,"Love in an Elevator",9,"Ari","RB","Justin Forsett","RB",7,9
"240",240,"BN","Tyrod Taylor",24,0,3,5,"The Peasemakers",1,"Buf","QB","Russell Wilson","QB",15,9
"269",269,"BN","Amari Cooper",16,0,2,6,"The Peasemakers",1,"Oak","WR","Doug Martin","FLEX",7,9
"400",400,"BN","Chandler Catanzaro",8,0,1,9,"The Peasemakers",1,"Ari","K","Adam Vinatieri","K",-1,9
"512",512,"BN","Devonta Freeman",11,0,2,11,"Down w/the Confederacaaaa!",8,"Atl","RB","Tre Mason","RB",2,9
"559",559,"BN","Kyle Rudolph",9,0,2,12,"What Would Jameis Do?",2,"Min","TE","Rueben Randle","FLEX",0,9
"206",206,"BN","John Brown",10,0,1,5,"Coffin Corner Gunners",3,"Ari","WR","Andre Johnson","WR",2,8
"29",29,"BN","Pierre Garcon",8,0,2,1,"Boston Bobcatz",6,"Wsh","WR","Kendall Wright","WR",1,7
"79",79,"BN","Jordan Reed",8,0,2,2,"Tom Terrific",12,"Wsh","TE","Owen Daniels","TE",1,7
"430",430,"BN","Bilal Powell",7,0,3,9,"Boston Bobcatz",6,"NYJ","RB","Chris Ivory","FLEX",0,7
"139",139,"BN","Brandin Cooks",7,0,3,3,"Screw you,  Goodell",7,"NO","WR","C.J. Anderson","FLEX",1,6
"188",188,"BN","Marvin Jones",15,0,3,4,"What Would Jameis Do?",2,"Cin","WR","Donte Moncrief","FLEX",9,6
"333",333,"BN","Darren McFadden",9,0,3,7,"Coffin Corner Gunners",3,"Dal","RB","David Johnson","FLEX",3,6
"334",334,"BN","Danny Amendola",9,0,3,7,"Coffin Corner Gunners",3,"NE","WR","David Johnson","FLEX",3,6
"416",416,"BN","Chandler Catanzaro",6,0,2,9,"Coffin Corner Gunners",3,"Ari","K","Adam Vinatieri","K",0,6
"431",431,"BN","Eric Ebron",6,0,3,9,"Boston Bobcatz",6,"Det","TE","Chris Ivory","FLEX",0,6
"463",463,"BN","Torrey Smith",20,0,2,10,"FU Roadshow Winnebago",4,"SF","WR","Terrance Williams","FLEX",14,6
"494",494,"BN","Tony Romo",22,0,1,11,"What Would Jameis Do?",2,"Dal QB","QB","Drew Brees","QB",16,6
"62",62,"BN","Darren Sproles",12,0,1,2,"+/- 1 PSI",11,"Phi","RB","Jonathan Stewart","RB",7,5
"253",253,"BN","Tyler Lockett",9,0,1,6,"Screw you,  Goodell",7,"Sea","WR","Amari Cooper","WR",4,5
"285",285,"BN","Ronnie Hillman",7,0,3,6,"Love in an Elevator",9,"Den","RB","Jeremy Hill","RB",2,5
"299",299,"BN","Giovani Bernard",8,0,1,7,"Boston Bobcatz",6,"Cin","RB","C.J. Anderson","RB",3,5
"317",317,"BN","Darren McFadden",5,0,2,7,"Wilfork Island",5,"Dal","RB","Roddy White","FLEX",0,5
"411",411,"BN","T.Y. Hilton",4,0,2,9,"Coffin Corner Gunners",3,"Ind","WR","Keenan Allen","WR",-1,5
"14",14,"BN","Marcus Mariota",24,0,1,1,"Love in an Elevator",9,"Ten","QB","Philip Rivers","QB",20,4
"75",75,"BN","Jonathan Stewart",6,0,2,2,"Tom Terrific",12,"Car","RB","Darren Sproles","FLEX",2,4
"221",221,"BN","Andre Williams",4,0,2,5,"Screw you,  Goodell",7,"NYG","RB","Eddie Lacy","RB",0,4
"270",270,"BN","Ronnie Hillman",3,0,2,6,"The Peasemakers",1,"Den","RB","Jeremy Hill","RB",-1,4
"384",384,"BN","Ty Montgomery",7,0,3,8,"Tom Terrific",12,"GB","WR","Isaiah Crowell","FLEX",3,4
"432",432,"BN","Chandler Catanzaro",9,0,3,9,"Boston Bobcatz",6,"Ari","K","Adam Vinatieri","K",5,4
"476",476,"BN","Mike Wallace",4,0,3,10,"+/- 1 PSI",11,"Min","WR","DeMarco Murray","FLEX",0,4
"478",478,"BN","Marques Colston",4,0,3,10,"+/- 1 PSI",11,"NO","WR","DeMarco Murray","FLEX",0,4
"558",558,"BN","Eddie Royal",4,0,2,12,"What Would Jameis Do?",2,"Chi","WR","Mike Evans","WR",0,4
"239",239,"BN","James Starks",4,0,3,5,"The Peasemakers",1,"GB","RB","Matt Jones","RB",1,3
"428",428,"BN","Michael Crabtree",3,0,3,9,"Boston Bobcatz",6,"Oak","WR","Chris Ivory","FLEX",0,3
"464",464,"BN","Shane Vereen",8,0,2,10,"FU Roadshow Winnebago",4,"NYG","RB","DeMarco Murray","RB",5,3
"477",477,"BN","Sammy Watkins",3,0,3,10,"+/- 1 PSI",11,"Buf","WR","DeMarco Murray","FLEX",0,3
"524",524,"BN","Larry Donnell",3,0,3,11,"Richmond Confederates",10,"NYG","TE","Tyler Eifert","TE",0,3
"543",543,"BN","Kyle Rudolph",5,0,1,12,"FU Roadshow Winnebago",4,"Min","TE","Rueben Randle","FLEX",2,3
"30",30,"BN","Marcus Mariota",15,0,2,1,"Boston Bobcatz",6,"Ten","QB","Philip Rivers","QB",13,2
"31",31,"BN","Brandon Coleman",3,0,2,1,"Boston Bobcatz",6,"NO","WR","Kendall Wright","WR",1,2
"224",224,"BN","Benjamin Cunningham",2,0,2,5,"Screw you,  Goodell",7,"StL","RB","Eddie Lacy","RB",0,2
"284",284,"BN","Doug Martin",4,0,3,6,"Love in an Elevator",9,"TB","RB","Jeremy Hill","RB",2,2
"318",318,"BN","Danny Amendola",2,0,2,7,"Wilfork Island",5,"NE","WR","Roddy White","FLEX",0,2
"319",319,"BN","Scott Chandler",2,0,2,7,"Wilfork Island",5,"NE","TE","Roddy White","FLEX",0,2
"365",365,"BN","Bishop Sankey",4,0,2,8,"+/- 1 PSI",11,"Ten","RB","Rashad Jennings","FLEX",2,2
"379",379,"BN","Lamar Miller",5,0,3,8,"Tom Terrific",12,"Mia","RB","Isaiah Crowell","FLEX",3,2
"381",381,"BN","Rashad Jennings",5,0,3,8,"Tom Terrific",12,"NYG","RB","Isaiah Crowell","FLEX",3,2
"412",412,"BN","Devin Funchess",1,0,2,9,"Coffin Corner Gunners",3,"Car","WR","Keenan Allen","WR",-1,2
"526",526,"BN","Allen Robinson",6,0,3,11,"Richmond Confederates",10,"Jax","WR","Vincent Jackson","WR",4,2
"172",172,"BN","Malcom Floyd",11,0,2,4,"Richmond Confederates",10,"SD","WR","A.J. Green","FLEX",10,1
"192",192,"BN","Heath Miller",1,0,3,4,"What Would Jameis Do?",2,"Pit","TE","","TE",0,1
"252",252,"BN","Ronnie Hillman",4,0,1,6,"Screw you,  Goodell",7,"Den","RB","Frank Gore","RB",3,1
"366",366,"BN","Nelson Agholor",3,0,2,8,"+/- 1 PSI",11,"Phi","WR","Rashad Jennings","FLEX",2,1
"427",427,"BN","Michael Floyd",1,0,3,9,"Boston Bobcatz",6,"Ari","WR","Chris Ivory","FLEX",0,1
"544",544,"BN","Doug Baldwin",3,0,1,12,"FU Roadshow Winnebago",4,"Sea","WR","Rueben Randle","FLEX",2,1
